D,AGE,CH4
1113.97,42541,481.9
1117.62,42832.9,491
1117.64,42834.6,493
1119.02,42961.5,495
1119.05,42964.3,488
1119.58,43015,489.7
1121.97,43222.5,480.4
1123.58,43353.5,487.2
1125.62,43511.6,425.3
1125.97,43550.4,399.9
1129.97,43847.2,418.3
1132.02,44054.6,423.7
1132.6,44101.2,421.3
1133.62,44180.7,421.7
1133.64,44183,421
1133.97,44208.2,422.1
1135.58,44359.4,457.4
1137.97,44552.8,449
1141.64,44855.3,454
1141.67,44858.6,450
1141.97,44891.3,446.6
1143.02,44960.6,470.3
1143.05,44962.7,470
1143.58,44999.6,486.7
1145.97,45156.5,463.1
1147.58,45284.9,477.8
1149.62,45437,478.3
1149.64,45439.3,473
1149.97,45464.1,477.8
1153.97,45746.6,511.9
1155.02,45827.3,525
1155.05,45830.2,505
1155.08,45833.1,510
1155.58,45881.5,508.9
1157.62,46034.9,512.3
1157.97,46061,507
1159.47,46185.5,492.1
1161.97,46354.2,500.8
1165.62,46611.9,535.7
1165.64,46614.2,523
1165.97,46639.6,515.6
1167.02,46697.6,541
1167.05,46700.5,527.3
1167.08,46703.4,533
1167.11,46706.2,528
1167.58,46751.2,493.4
1169.97,46935.1,497.6
1171.58,47097.6,439.9
1173.62,47308,458.3
1173.64,47311,443
1173.97,47343.9,454.8
1177.97,47799.7,437.3
1179.02,47899.1,460
1179.05,47901.7,454
1179.58,47948.2,453.1
1181.62,48188.7,453.3
1181.64,48192,453
1181.97,48228.8,462.8
1183.53,48434.9,409
1185.97,48768.4,409.1
1189.62,49260.9,471.7
1189.64,49265,463
1189.67,49269,467
1189.7,49273.1,465
1189.97,49309.7,473.8
1191.02,49458.3,478
1191.58,49517.5,464.2
1193.97,49820.8,424.6
1195.58,50012.7,452.4
1197.62,50256.1,462
1197.97,50303.9,470.7
1203.02,50963.4,491.7
1203.05,50967.2,489
1203.58,51034.9,487.1
1209.97,51853.1,513.2
1213.62,52343.9,535
1213.97,52391.3,526.4
1215.02,52507.1,538
1215.58,52579.5,534.9
1217.97,52892.2,540.1
1219.58,53114.6,547.3
1221.62,53396.1,546.3
1221.97,53436,542.2
1223.17,53611.3,542.723
1223.33,53634.3,541.072
1223.5,53657.3,537.748
1223.67,53680.3,534.836
1223.83,53703.3,530.848
1224.17,53749.4,522.933
1224.33,53772.6,516.68
1224.5,53795.8,517.687
1224.67,53818.9,523.64
1224.83,53842.1,535.051
1226.17,53995.8,547.023
1226.33,54015,546.757
1226.5,54034.2,533.15
1226.67,54053.4,515.025
1226.83,54072.6,501.754
1227.02,54093.7,517.7
1227.05,54097.3,535
1227.17,54112.3,500.128
1227.33,54132.9,508.12
1227.5,54153.4,516.158
1227.58,54162.6,548.7
1227.67,54173.9,513.548
1228.17,54237.3,502.827
1228.33,54259.6,496.586
1228.5,54282,488.769
1228.67,54304.3,467.956
1228.83,54326.6,449.021
1229.17,54372.1,447.103
1229.33,54395.2,450.477
1229.5,54418.4,445.741
1229.67,54441.6,437.563
1229.83,54464.7,435.735
1229.97,54484.4,438
1230.14,54508.1,440.145
1230.29,54528.3,442.228
1230.43,54548.5,439.903
1230.57,54568.7,439.684
1230.71,54588.9,444.362
1230.86,54609.1,451.719
1231.17,54652.2,457.956
1231.33,54675.1,459.862
1231.5,54698,459.95
1231.53,54701.5,422.1
1231.67,54720.9,460.662
1231.83,54743.9,460.013
1232.17,54791.5,461.752
1232.33,54816.2,469.945
1232.5,54841,475.325
1232.67,54865.7,470.906
1232.83,54890.4,467.433
1233.17,54940.5,471.63
1233.33,54965.7,475.042
1233.5,54991,478.906
1233.62,55008.5,455
1233.67,55016.3,491.977
1233.97,55063.1,461.6
1234.17,55092.8,504.629
1234.33,55118.8,500.947
1234.5,55144.7,481.272
1234.67,55170.6,459.502
1234.83,55196.5,449.627
